mix_id,R,f_FA,yCO2,w_SS,w_b,converged,pH,pCO2_bar,temperature_K,pressure_bar,C-S-H_1.0_mol,Calcite_mol,Ettringite_mol,Hydrotalcite_mol,Silica_gel_mol,C-S-H_1.0_kg,Calcite_kg,Ettringite_kg,Hydrotalcite_kg,Silica_gel_kg
MIX_0040,0.3,0.0,0.2,0.04,1.1,True,9.48675,0.20265,298.15,1.01325,0.24421813354875,0.0034573964512499998,0.00854325,0.021444308999999998,0.84843280645125,0.0415170827032875,0.00034605081080561246,0.010721778749999999,0.009499828887,0.0509738430115911
MIX_0041,0.3,0.0,0.2,0.04,1.4,True,9.48675,0.20265,298.15,1.01325,0.2440272321825,0.0036482978175,0.00854325,0.021444308999999998,0.8504461478174999,0.041484629471025006,0.000365158128553575,0.010721778749999999,0.009499828887,0.051094804560875395
MIX_0042,0.3,0.0,0.2,0.04,1.7,True,9.48675,0.20265,298.15,1.01325,0.2438363358825,0.0038391941175,0.00854325,0.021444308999999998,0.8524594841174999,0.041452177100025,0.000384264939220575,0.010721778749999999,0.009499828887,0.0512157658057794
MIX_0043,0.3,0.0,0.2,0.04,2.0,True,9.48675,0.20265,298.15,1.01325,0.24364543451625,0.00403009548375,0.00854325,0.021444308999999998,0.8544728254837499,0.041419723867762506,0.0004033722569685375,0.010721778749999999,0.009499828887,0.0513367273550637
MIX_0044,0.3,0.0,0.2,0.05,1.1,True,9.48675,0.20265,298.15,1.01325,0.24419652092625,0.00347900907375,0.00854325,0.021444308999999998,0.8571403090737499,0.0415134085574625,0.0003482140181916375,0.010721778749999999,0.009499828887,0.051496989769150896
MIX_0045,0.3,0.0,0.2,0.05,1.4,True,9.48675,0.20265,298.15,1.01325,0.24400442899125,0.00367110100875,0.00854325,0.021444308999999998,0.85963443100875,0.0414807529285125,0.0003674404999657875,0.010721778749999999,0.009499828887,0.0516468366150057
MIX_0046,0.3,0.0,0.2,0.05,1.7,True,9.48675,0.20265,298.15,1.01325,0.24381233705625,0.00386319294375,0.00854325,0.021444308999999998,0.8621285529437501,0.0414480972995625,0.00038666698173993753,0.010721778749999999,0.009499828887,0.051796683460860506
MIX_0047,0.3,0.0,0.2,0.05,2.0,True,9.48675,0.20265,298.15,1.01325,0.243620240055,0.004055289944999999,0.00854325,0.021444308999999998,0.8646226799449999,0.04141544080935,0.0004058939705950499,0.010721778749999999,0.009499828887,0.051946530611095595
MIX_0048,0.3,0.0,0.25,0.02,1.1,True,9.2334375,0.2533125,298.15,1.01325,0.2423388245765625,0.005336705423437499,0.00854325,0.021444308999999998,0.8334721154234375,0.04119760017801563,0.0005341508458318593,0.010721778749999999,0.009499828887,0.05007500469464012
MIX_0049,0.3,0.0,0.25,0.02,1.4,True,9.2334375,0.2533125,298.15,1.01325,0.2420441588109375,0.0056313711890625,0.00854325,0.021444308999999998,0.8346594011890625,0.04114750699785938,0.0005636439423132656,0.010721778749999999,0.009499828887,0.05014633682343887
MIX_0050,0.3,0.0,0.25,0.02,1.7,True,9.2334375,0.2533125,298.15,1.01325,0.2417494930453125,0.005926036954687499,0.00854325,0.021444308999999998,0.8358466869546874,0.041097413817703134,0.0005931370387946718,0.010721778749999999,0.009499828887,0.05021766895223762
MIX_0051,0.3,0.0,0.25,0.02,2.0,True,9.2334375,0.2533125,298.15,1.01325,0.2414548272796875,0.0062207027203125,0.00854325,0.021444308999999998,0.8370339727203124,0.04104732063754688,0.0006226301352760781,0.010721778749999999,0.009499828887,0.05028900108103637
MIX_0052,0.3,0.0,0.25,0.03,1.1,True,9.2334375,0.2533125,298.15,1.01325,0.24230641957500001,0.0053691104249999995,0.00854325,0.021444308999999998,0.8418377104250001,0.04119209132775001,0.0005373942624382499,0.010721778749999999,0.009499828887,0.05057760964233401
MIX_0053,0.3,0.0,0.25,0.03,1.4,True,9.2334375,0.2533125,298.15,1.01325,0.24200996795625002,0.005665562043749999,0.00854325,0.021444308999999998,0.8434869020437501,0.04114169455256251,0.0005670661049589375,0.010721778749999999,0.009499828887,0.05067669307478851
MIX_0054,0.3,0.0,0.25,0.03,1.7,True,9.2334375,0.2533125,298.15,1.01325,0.24171351633750002,0.005962013662499999,0.00854325,0.021444308999999998,0.8451360936625,0.041091297777375003,0.0005967379474796249,0.010721778749999999,0.009499828887,0.050775776507243
MIX_0055,0.3,0.0,0.25,0.03,2.0,True,9.2334375,0.2533125,298.15,1.01325,0.2414170583859375,0.0062584716140624995,0.00854325,0.021444308999999998,0.8467852916140625,0.04104089992560938,0.0006264104238515156,0.010721778749999999,0.009499828887,0.050874860320172875
MIX_0056,0.3,0.0,0.25,0.04,1.1,True,9.2334375,0.2533125,298.15,1.01325,0.242273349628125,0.005402180371874999,0.00854325,0.021444308999999998,0.850377590371875,0.04118646943678125,0.0005407042334209687,0.010721778749999999,0.009499828887,0.05109068562954225
MIX_0057,0.3,0.0,0.25,0.04,1.4,True,9.2334375,0.2533125,298.15,1.01325,0.2419750678265625,0.005700462173437499,0.00854325,0.021444308999999998,0.8524983121734374,0.04113576153051563,0.0005705592589393592,0.010721778749999999,0.009499828887,0.051218098595380124
MIX_0058,0.3,0.0,0.25,0.04,1.7,True,9.2334375,0.2533125,298.15,1.01325,0.241676786025,0.005998743974999999,0.00854325,0.021444308999999998,0.8546190339749999,0.04108505362425,0.0006004142844577499,0.010721778749999999,0.009499828887,0.051345511561218
MIX_0059,0.3,0.0,0.25,0.04,2.0,True,9.2334375,0.2533125,298.15,1.01325,0.24137851055625,0.006297019443749999,0.00854325,0.021444308999999998,0.8567397494437499,0.041034346794562505,0.0006302686761249373,0.010721778749999999,0.009499828887,0.051472924146580494
MIX_0060,0.3,0.0,0.25,0.05,1.1,True,9.2334375,0.2533125,298.15,1.01325,0.24223957673906252,0.005435953260937499,0.00854325,0.021444308999999998,0.8590972532609374,0.04118072804564063,0.0005440845618872343,0.010721778749999999,0.009499828887,0.05161456297591712
MIX_0061,0.3,0.0,0.25,0.05,1.4,True,9.2334375,0.2533125,298.15,1.01325,0.24193943309062502,0.005736096909374999,0.00854325,0.021444308999999998,0.861699426909375,0.04112970362540626,0.0005741259396593437,0.010721778749999999,0.009499828887,0.05177090156871525
MIX_0062,0.3,0.0,0.25,0.05,1.7,True,9.2334375,0.2533125,298.15,1.01325,0.24163928944218752,0.006036240557812499,0.00854325,0.021444308999999998,0.8643016005578126,0.04107867920517188,0.000604167317431453,0.010721778749999999,0.009499828887,0.05192724016151338
MIX_0063,0.3,0.0,0.25,0.05,2.0,True,9.2334375,0.2533125,298.15,1.01325,0.24133914579375002,0.0063363842062499984,0.00854325,0.021444308999999998,0.8669037742062499,0.04102765478493751,0.0006342086952035623,0.010721778749999999,0.009499828887,0.052083578754311494
MIX_0064,0.3,0.0,0.3,0.02,1.1,True,8.980125000000001,0.303975,298.15,1.01325,0.23999066963062501,0.007684860369374999,0.00854325,0.021444308999999998,0.835820270369375,0.040798413837206254,0.0007691776743707437,0.010721778749999999,0.009499828887,0.05021608184379205
MIX_0065,0.3,0.0,0.3,0.02,1.4,True,8.980125000000001,0.303975,298.15,1.01325,0.239566350928125,0.008109179071875,0.00854325,0.021444308999999998,0.8371372090718749,0.04072627965778126,0.0008116477333039687,0.010721778749999999,0.009499828887,0.05029520352103825
MIX_0066,0.3,0.0,0.3,0.02,1.7,True,8.980125000000001,0.303975,298.15,1.01325,0.239142039825,0.008533490174999998,0.00854325,0.021444308999999998,0.838454140175,0.040654146770250005,0.0008541170316157498,0.010721778749999999,0.009499828887,0.050374324741714
MIX_0067,0.3,0.0,0.3,0.02,2.0,True,8.980125000000001,0.303975,298.15,1.01325,0.2387177211225,0.0089578088775,0.00854325,0.021444308999999998,0.8397710788774999,0.040582012590825,0.0008965870905489749,0.010721778749999999,0.009499828887,0.0504534464189602
MIX_0068,0.3,0.0,0.3,0.03,1.1,True,8.980125000000001,0.303975,298.15,1.01325,0.23994401706750002,0.007731512932499999,0.00854325,0.021444308999999998,0.8442001129325001,0.04079048290147501,0.0007738471294139249,0.010721778749999999,0.009499828887,0.050719542784984604
MIX_0069,0.3,0.0,0.3,0.03,1.4,True,8.980125000000001,0.303975,298.15,1.01325,0.239517122176875,0.008158407823124998,0.00854325,0.021444308999999998,0.845979747823125,0.040717910770068755,0.000816575039016581,0.010721778749999999,0.009499828887,0.050826463249213354
MIX_0070,0.3,0.0,0.3,0.03,1.7,True,8.980125000000001,0.303975,298.15,1.01325,0.23909022728625,0.008585302713749998,0.00854325,0.021444308999999998,0.84775938271375,0.04064533863866251,0.0008593029486192372,0.010721778749999999,0.009499828887,0.050933383713442096
MIX_0071,0.3,0.0,0.3,0.03,2.0,True,8.980125000000001,0.303975,298.15,1.01325,0.238663332395625,0.009012197604375,0.00854325,0.021444308999999998,0.849539017604375,0.040572766507256254,0.0009020308582218937,0.010721778749999999,0.009499828887,0.05104030417767085
MIX_0072,0.3,0.0,0.3,0.04,1.1,True,8.980125000000001,0.303975,298.15,1.01325,0.239896384185,0.007779145814999999,0.00854325,0.021444308999999998,0.8527545558149999,0.04078238531145,0.00077861470462335,0.010721778749999999,0.009499828887,0.0512334937133652
MIX_0073,0.3,0.0,0.3,0.04,1.4,True,8.980125000000001,0.303975,298.15,1.01325,0.23946686751000001,0.00820866249,0.00854325,0.021444308999999998,0.8550065124899999,0.0407093674767,0.0008216050286240999,0.010721778749999999,0.009499828887,0.0513687912703992
