mix_id,R,f_FA,yCO2,w_SS,w_b,converged,pH,pCO2_bar,num_phases,method,temperature_K,pressure_bar,CO2_fraction,pe,Eh,system_mass_kg,execution_time,input_file,input_Ca_mol,input_Si_mol,input_Al_mol,input_Fe_mol,input_Mg_mol,input_K_mol,input_Na_mol,input_S_mol,input_O_mol,input_H_mol,input_C_mol,phase_list,phase_C-S-H_1.0_mol,phase_C-S-H_1.0_kg,phase_Silica_gel_mol,phase_Silica_gel_kg,phase_Ettringite_mol,phase_Ettringite_kg,phase_Hydrotalcite_mol,phase_Hydrotalcite_kg,phase_Calcite_mol,phase_Calcite_kg,Ca_Si_ratio,total_solid_mass_kg,Calcite_mass_fraction,Ettringite_mass_fraction,Silica_gel_mass_fraction,Hydrotalcite_mass_fraction,C-S-H_1.0_mass_fraction,carbonation_degree
MIX_0020,0.3,0.0,0.15,0.03,1.1,True,9.7400625,0.1519875,5,simplified_thermodynamic_model,298.15,1.01325,0.15,4.0,0.24,0.11256248103196839,0.0002090930938720703,/teamspace/studios/this_studio/inputs/generated/MIX_0020.inp,0.24767553,1.08414413,0.47117877,0.05585885,0.07148103,0.05860121,0.04750137,0.0512595,5.32678329,3.66355667,0.00508694,"['Calcite', 'C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24574265176687501,0.04177625080036876,0.838401478233125,0.05037116081224616,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,0.0019328782331249998,0.00019346178235348123,0.22845258589109801,0.11256248103196839,0.001718705739318827,0.09525179830950753,0.4474951183173632,0.08439605089961005,0.371138325845805,0.007804074275503084
MIX_0021,0.3,0.0,0.15,0.03,1.4,True,9.7400625,0.1519875,5,simplified_thermodynamic_model,298.15,1.01325,0.15,4.0,0.24,0.11264270453829922,1.71661376953125e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0021.inp,0.24767553,1.08549687,0.47117877,0.05585885,0.07148103,0.05860121,0.05012415,0.0512595,5.83093788,4.66270861,0.00536782,"['Calcite', 'C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24563592614437502,0.04175810744454376,0.839860943855625,0.050458845506845956,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,0.0020396038556249997,0.00020414394990950622,0.22816788958330503,0.11264270453829921,0.0018123139937470576,0.09518396050972065,0.4479548468662181,0.08433594450261452,0.37071293323993704,0.008234983305785199
MIX_0022,0.3,0.0,0.15,0.03,1.7,True,9.7400625,0.1519875,5,simplified_thermodynamic_model,298.15,1.01325,0.15,4.0,0.24,0.11272292808198096,1.1682510375976562e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0022.inp,0.24767553,1.08684961,0.47117877,0.05585885,0.07148103,0.05860121,0.05274692,0.0512595,6.33509238,5.6618604,0.00564869,"['Calcite', 'C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.2455292043215625,0.04173996473466563,0.8413204056784376,0.05054652997316053,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,0.0021463256784374995,0.0002148257371548093,0.2278839019661714,0.11272292808198096,0.0019057856340281775,0.09511621923705404,0.4484139188751177,0.08427592363164473,0.3702881517350245,0.008665876994674894
MIX_0023,0.3,0.0,0.15,0.03,2.0,True,9.7400625,0.1519875,5,simplified_thermodynamic_model,298.15,1.01325,0.15,4.0,0.24,0.11280315162566272,1.049041748046875e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0023.inp,0.24767553,1.08820235,0.47117877,0.05585885,0.07148103,0.05860121,0.05536969,0.0512595,6.83924691,6.66101223,0.00592956,"['Calcite', 'C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24542248249875,0.041721822024787504,0.84277986750125,0.0506342144394751,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,0.00225304750125,0.0002255075244001125,0.22760062039678552,0.1128031516256627,0.001999124323658499,0.09504857431710213,0.44887233791674125,0.08421598813217193,0.3698639744238263,0.009096770683564593
MIX_0024,0.3,0.0,0.15,0.04,1.1,True,9.7400625,0.1519875,5,simplified_thermodynamic_model,298.15,1.01325,0.15,4.0,0.24,0.11307345311895964,3.7670135498046875e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0024.inp,0.24767553,1.09265094,0.47117877,0.05585885,0.07148103,0.05860121,0.0639949,0.0512595,5.35210639,3.66355677,0.00511828,"['Calcite', 'C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24573074354625002,0.041774226402862505,0.8469201964537499,0.0508829654029413,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,0.0019447864537499998,0.0001946536761558375,0.22667397327945613,0.11307345311895965,0.0017214798930647573,0.09482136120171325,0.44999921691972766,0.08401467025690086,0.3694432708442125,0.007852154199346154
MIX_0025,0.3,0.0,0.15,0.04,1.4,True,9.7400625,0.1519875,5,simplified_thermodynamic_model,298.15,1.01325,0.15,4.0,0.24,0.11318188977693083,1.5974044799804688e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0025.inp,0.24767553,1.09447338,0.47117877,0.05585885,0.07148103,0.05860121,0.06752836,0.0512595,5.85765912,4.6627086,0.00540088,"['Calcite', 'C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24562336437750001,0.041755971944175005,0.8488500156225,0.0509989089385998,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,0.0020521656225,0.00020540125715602498,0.22629653174147585,0.11318188977693083,0.001814789074288913,0.09473051529408463,0.4505924843104656,0.08393417796194877,0.3689280324756785,0.008285701949124443
MIX_0026,0.3,0.0,0.15,0.04,1.7,True,9.7400625,0.1519875,5,simplified_thermodynamic_model,298.15,1.01325,0.15,4.0,0.24,0.11329032639755107,1.9073486328125e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0026.inp,0.24767553,1.09629582,0.47117877,0.05585885,0.07148103,0.05860121,0.07106182,0.0512595,6.36321186,5.66186043,0.00568349,"['Calcite', 'C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.2455159814090625,0.041737716839540626,0.8507798385909374,0.05111485270254352,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,0.0021595485909374997,0.00021614921846693436,0.2259203450920829,0.11329032639755109,0.001907922989979261,0.0946398433252972,0.45118461816462707,0.08385383978221081,0.3684137748551977,0.008719265040295151
MIX_0027,0.3,0.0,0.15,0.04,2.0,True,9.7400625,0.1519875,5,simplified_thermodynamic_model,298.15,1.01325,0.15,4.0,0.24,0.11339876305552227,1.9550323486328125e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0027.inp,0.24767553,1.09811826,0.47117877,0.05585885,0.07148103,0.05860121,0.07459528,0.0512595,6.86876459,6.66101226,0.00596609,"['Calcite', 'C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.2454086022403125,0.041719462380853126,0.8527096577596874,0.05123079623820202,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,0.0022669277596874997,0.00022689679946712185,0.22554540708342788,0.11339876305552227,0.0020008754342050556,0.09454934473399389,0.4517756174107548,0.08377365522030722,0.36790050631889526,0.009152812790073442
MIX_0028,0.3,0.0,0.15,0.05,1.1,True,9.7400625,0.1519875,5,simplified_thermodynamic_model,298.15,1.01325,0.15,4.0,0.24,0.11359518190454057,9.5367431640625e-06,/teamspace/studios/this_studio/inputs/generated/MIX_0028.inp,0.24767553,1.10133683,0.47117877,0.05585885,0.07148103,0.05860121,0.08083566,0.0512595,5.37796252,3.66355671,0.00515027,"['Calcite', 'C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24571858834593752,0.04177216001880938,0.8556182416540624,0.05140554395857607,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,0.0019569416540624997,0.0001958702901551156,0.22488626842481185,0.11359518190454056,0.0017242834308526078,0.09438585828025202,0.45253278397424745,0.08362880114598768,0.3677282722883413,0.007901231313696497
MIX_0029,0.3,0.0,0.15,0.05,1.4,True,9.7400625,0.1519875,5,simplified_thermodynamic_model,298.15,1.01325,0.15,4.0,0.24,0.11373242568124656,9.298324584960938e-06,/teamspace/studios/this_studio/inputs/generated/MIX_0029.inp,0.24767553,1.10363886,0.47117877,0.05585885,0.07148103,0.05860121,0.08529898,0.0512595,5.8849429,4.66270854,0.00543465,"['Calcite', 'C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.2456105328328125,0.04175379058157813,0.8580283271671875,0.051550341896204624,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,0.0020649971671875,0.00020668556646379684,0.22441718840668431,0.11373242568124654,0.001817296738762407,0.09427196049280015,0.4532598468914818,0.08352788416974428,0.36712301082795473,0.008337509831325479
