mix_id,R,f_FA,yCO2,w_SS,w_b,cement_mass_g,flyash_mass_g,gangue_mass_g,water_mass_g,sodium_silicate_mass_g,total_mass_g,Ca_mol,Si_mol,Al_mol,Fe_mol,Mg_mol,K_mol,Na_mol,S_mol,O_mol,H_mol,C_mol,total_element_mass_g,CO2_moles,input_mass,mass_balance_error
MIX_0038,0.30000000,0.00000000,0.20000000,0.03000000,1.70000000,30.00000000,0.00000000,100.00000000,48.67125800,5.59793800,184.26919600,0.24767553,1.08684961,0.47117877,0.05585885,0.07148103,0.05860121,0.05274692,0.05125950,6.33885817,5.66186040,0.00753159,170.38363639,0.00753159,184.26919600,-7.53547522
MIX_0039,0.30000000,0.00000000,0.20000000,0.03000000,2.00000000,30.00000000,0.00000000,100.00000000,57.55546400,5.87628900,193.43175300,0.24767553,1.08820235,0.47117877,0.05585885,0.07148103,0.05860121,0.05536969,0.05125950,6.84319995,6.66101223,0.00790608,179.56267503,0.00790608,193.43175300,-7.17001100
MIX_0040,0.30000000,0.00000000,0.20000000,0.04000000,1.10000000,30.00000000,0.00000000,100.00000000,30.17466700,6.79166700,166.96633300,0.24767553,1.09265094,0.47117877,0.05585885,0.07148103,0.05860121,0.06399490,0.05125950,5.35551857,3.66355677,0.00682437,153.04965076,0.00682437,166.96633400,-8.33502354
MIX_0041,0.30000000,0.00000000,0.20000000,0.04000000,1.40000000,30.00000000,0.00000000,100.00000000,39.01866700,7.16666700,176.18533300,0.24767553,1.09447338,0.47117877,0.05585885,0.07148103,0.05860121,0.06752836,0.05125950,5.86125971,4.66270860,0.00720118,162.28523397,0.00720118,176.18533400,-7.88947622
MIX_0042,0.30000000,0.00000000,0.20000000,0.04000000,1.70000000,30.00000000,0.00000000,100.00000000,47.86266700,7.54166700,185.40433300,0.24767553,1.09629582,0.47117877,0.05585885,0.07148103,0.05860121,0.07106182,0.05125950,6.36700085,5.66186043,0.00757798,171.52081718,0.00757798,185.40433400,-7.48823748
MIX_0043,0.30000000,0.00000000,0.20000000,0.04000000,2.00000000,30.00000000,0.00000000,100.00000000,56.70666700,7.91666700,194.62333300,0.24767553,1.09811826,0.47117877,0.05585885,0.07148103,0.05860121,0.07459528,0.05125950,6.87274198,6.66101226,0.00795479,180.75640039,0.00795479,194.62333400,-7.12501082
MIX_0044,0.30000000,0.00000000,0.20000000,0.05000000,1.10000000,30.00000000,0.00000000,100.00000000,29.43115800,8.57894700,168.01010500,0.24767553,1.10133683,0.47117877,0.05585885,0.07148103,0.05860121,0.08083566,0.05125950,5.38139603,3.66355671,0.00686703,154.09530013,0.00686703,168.01010500,-8.28212379
MIX_0045,0.30000000,0.00000000,0.20000000,0.05000000,1.40000000,30.00000000,0.00000000,100.00000000,38.23410500,9.05263200,177.28673700,0.24767553,1.10363886,0.47117877,0.05585885,0.07148103,0.05860121,0.08529898,0.05125950,5.88856600,4.66270854,0.00724619,163.38861905,0.00724619,177.28673700,-7.83934443
MIX_0046,0.30000000,0.00000000,0.20000000,0.05000000,1.70000000,30.00000000,0.00000000,100.00000000,47.03705300,9.52631600,186.56336800,0.24767553,1.10594089,0.47117877,0.05585885,0.07148103,0.05860121,0.08976230,0.05125950,6.39573598,5.66186043,0.00762535,172.68193797,0.00762535,186.56336900,-7.44059839
MIX_0047,0.30000000,0.00000000,0.20000000,0.05000000,2.00000000,30.00000000,0.00000000,100.00000000,55.84000000,10.00000000,195.84000000,0.24767553,1.10824292,0.47117877,0.05585885,0.07148103,0.05860121,0.09422562,0.05125950,6.90290591,6.66101221,0.00800452,181.97525590,0.00800452,195.84000000,-7.07962832
MIX_0048,0.30000000,0.00000000,0.25000000,0.02000000,1.10000000,30.00000000,0.00000000,100.00000000,31.61616300,3.32653100,164.94269400,0.24767553,1.07581094,0.47117877,0.05585885,0.07148103,0.05860121,0.03134444,0.05125950,5.30871872,3.66355670,0.00842707,151.09654329,0.00842707,164.94269400,-8.39452198
MIX_0049,0.30000000,0.00000000,0.25000000,0.02000000,1.40000000,30.00000000,0.00000000,100.00000000,40.53975500,3.51020400,174.04995900,0.24767553,1.07670356,0.47117877,0.05585885,0.07148103,0.05860121,0.03307511,0.05125950,5.81187580,4.66270853,0.00889237,160.22428593,0.00889237,174.04995900,-7.94350837
MIX_0050,0.30000000,0.00000000,0.25000000,0.02000000,1.70000000,30.00000000,0.00000000,100.00000000,49.46334700,3.69387800,183.15722400,0.24767553,1.07759618,0.47117877,0.05585885,0.07148103,0.05860121,0.03480579,0.05125950,6.31503293,5.66186040,0.00935767,169.35202957,0.00935767,183.15722500,-7.53734690
MIX_0051,0.30000000,0.00000000,0.25000000,0.02000000,2.00000000,30.00000000,0.00000000,100.00000000,58.38693900,3.87755100,192.26449000,0.24767553,1.07848880,0.47117877,0.05585885,0.07148103,0.05860121,0.03653646,0.05125950,6.81819002,6.66101223,0.00982297,178.47977222,0.00982297,192.26449000,-7.16966393
MIX_0052,0.30000000,0.00000000,0.25000000,0.03000000,1.10000000,30.00000000,0.00000000,100.00000000,30.90284500,5.04123700,165.94408200,0.24767553,1.08414413,0.47117877,0.05585885,0.07148103,0.05860121,0.04750137,0.05125950,5.33356587,3.66355667,0.00847824,152.10018370,0.00847824,165.94408200,-8.34250799
MIX_0053,0.30000000,0.00000000,0.25000000,0.03000000,1.40000000,30.00000000,0.00000000,100.00000000,39.78705200,5.31958800,175.10663900,0.24767553,1.08549687,0.47117877,0.05585885,0.07148103,0.05860121,0.05012415,0.05125950,5.83809496,4.66270861,0.00894636,161.28334371,0.00894636,175.10664000,-7.89421594
MIX_0054,0.30000000,0.00000000,0.25000000,0.03000000,1.70000000,30.00000000,0.00000000,100.00000000,48.67125800,5.59793800,184.26919600,0.24767553,1.08684961,0.47117877,0.05585885,0.07148103,0.05860121,0.05274692,0.05125950,6.34262396,5.66186040,0.00941448,170.46650172,0.00941448,184.26919600,-7.49050551
MIX_0055,0.30000000,0.00000000,0.25000000,0.03000000,2.00000000,30.00000000,0.00000000,100.00000000,57.55546400,5.87628900,193.43175300,0.24767553,1.08820235,0.47117877,0.05585885,0.07148103,0.05860121,0.05536969,0.05125950,6.84715300,6.66101223,0.00988261,179.64966073,0.00988261,193.43175300,-7.12504129
MIX_0056,0.30000000,0.00000000,0.25000000,0.04000000,1.10000000,30.00000000,0.00000000,100.00000000,30.17466700,6.79166700,166.96633300,0.24767553,1.09265094,0.47117877,0.05585885,0.07148103,0.05860121,0.06399490,0.05125950,5.35893076,3.66355677,0.00853046,153.12473505,0.00853046,166.96633400,-8.29005382
MIX_0057,0.30000000,0.00000000,0.25000000,0.04000000,1.40000000,30.00000000,0.00000000,100.00000000,39.01866700,7.16666700,176.18533300,0.24767553,1.09447338,0.47117877,0.05585885,0.07148103,0.05860121,0.06752836,0.05125950,5.86486030,4.66270860,0.00900147,162.36446401,0.00900147,176.18533400,-7.84450651
MIX_0058,0.30000000,0.00000000,0.25000000,0.04000000,1.70000000,30.00000000,0.00000000,100.00000000,47.86266700,7.54166700,185.40433300,0.24767553,1.09629582,0.47117877,0.05585885,0.07148103,0.05860121,0.07106182,0.05125950,6.37078984,5.66186043,0.00947248,171.60419298,0.00947248,185.40433400,-7.44326776
MIX_0059,0.30000000,0.00000000,0.25000000,0.04000000,2.00000000,30.00000000,0.00000000,100.00000000,56.70666700,7.91666700,194.62333300,0.24767553,1.09811826,0.47117877,0.05585885,0.07148103,0.05860121,0.07459528,0.05125950,6.87671938,6.66101226,0.00994348,180.84392194,0.00994348,194.62333400,-7.08004111
MIX_0060,0.30000000,0.00000000,0.25000000,0.05000000,1.10000000,30.00000000,0.00000000,100.00000000,29.43115800,8.57894700,168.01010500,0.24767553,1.10133683,0.47117877,0.05585885,0.07148103,0.05860121,0.08083566,0.05125950,5.38482955,3.66355671,0.00858379,154.17085379,0.00858379,168.01010500,-8.23715407
MIX_0061,0.30000000,0.00000000,0.25000000,0.05000000,1.40000000,30.00000000,0.00000000,100.00000000,38.23410500,9.05263200,177.28673700,0.24767553,1.10363886,0.47117877,0.05585885,0.07148103,0.05860121,0.08529898,0.05125950,5.89218909,4.66270854,0.00905774,163.46834439,0.00905774,177.28673700,-7.79437472
MIX_0062,0.30000000,0.00000000,0.25000000,0.05000000,1.70000000,30.00000000,0.00000000,100.00000000,47.03705300,9.52631600,186.56336800,0.24767553,1.10594089,0.47117877,0.05585885,0.07148103,0.05860121,0.08976230,0.05125950,6.39954866,5.66186043,0.00953169,172.76583499,0.00953169,186.56336900,-7.39562867
MIX_0063,0.30000000,0.00000000,0.25000000,0.05000000,2.00000000,30.00000000,0.00000000,100.00000000,55.84000000,10.00000000,195.84000000,0.24767553,1.10824292,0.47117877,0.05585885,0.07148103,0.05860121,0.09422562,0.05125950,6.90690816,6.66101221,0.01000564,182.06332458,0.01000564,195.84000000,-7.03465861
MIX_0064,0.30000000,0.00000000,0.30000000,0.02000000,1.10000000,30.00000000,0.00000000,100.00000000,31.61616300,3.32653100,164.94269400,0.24767553,1.07581094,0.47117877,0.05585885,0.07148103,0.05860121,0.03134444,0.05125950,5.31208955,3.66355670,0.01011249,151.17071755,0.01011249,164.94269400,-8.34955227
MIX_0065,0.30000000,0.00000000,0.30000000,0.02000000,1.40000000,30.00000000,0.00000000,100.00000000,40.53975500,3.51020400,174.04995900,0.24767553,1.07670356,0.47117877,0.05585885,0.07148103,0.05860121,0.03307511,0.05125950,5.81543275,4.66270853,0.01067085,160.30255570,0.01067085,174.04995900,-7.89853866
MIX_0066,0.30000000,0.00000000,0.30000000,0.02000000,1.70000000,30.00000000,0.00000000,100.00000000,49.46334700,3.69387800,183.15722400,0.24767553,1.07759618,0.47117877,0.05585885,0.07148103,0.05860121,0.03480579,0.05125950,6.31877600,5.66186040,0.01122920,169.43439485,0.01122920,183.15722500,-7.49237719
MIX_0067,0.30000000,0.00000000,0.30000000,0.02000000,2.00000000,30.00000000,0.00000000,100.00000000,58.38693900,3.87755100,192.26449000,0.24767553,1.07848880,0.47117877,0.05585885,0.07148103,0.05860121,0.03653646,0.05125950,6.82211921,6.66101223,0.01178756,178.56623301,0.01178756,192.26449000,-7.12469421
MIX_0068,0.30000000,0.00000000,0.30000000,0.03000000,1.10000000,30.00000000,0.00000000,100.00000000,30.90284500,5.04123700,165.94408200,0.24767553,1.08414413,0.47117877,0.05585885,0.07148103,0.05860121,0.04750137,0.05125950,5.33695717,3.66355667,0.01017388,152.17480828,0.01017388,165.94408200,-8.29753827
MIX_0069,0.30000000,0.00000000,0.30000000,0.03000000,1.40000000,30.00000000,0.00000000,100.00000000,39.78705200,5.31958800,175.10663900,0.24767553,1.08549687,0.47117877,0.05585885,0.07148103,0.05860121,0.05012415,0.05125950,5.84167351,4.66270861,0.01073563,161.36208867,0.01073563,175.10664000,-7.84924623
MIX_0070,0.30000000,0.00000000,0.30000000,0.03000000,1.70000000,30.00000000,0.00000000,100.00000000,48.67125800,5.59793800,184.26919600,0.24767553,1.08684961,0.47117877,0.05585885,0.07148103,0.05860121,0.05274692,0.05125950,6.34638975,5.66186040,0.01129738,170.54936705,0.01129738,184.26919600,-7.44553580
MIX_0071,0.30000000,0.00000000,0.30000000,0.03000000,2.00000000,30.00000000,0.00000000,100.00000000,57.55546400,5.87628900,193.43175300,0.24767553,1.08820235,0.47117877,0.05585885,0.07148103,0.05860121,0.05536969,0.05125950,6.85110604,6.66101223,0.01185913,179.73664644,0.01185913,193.43175300,-7.08007158
MIX_0072,0.30000000,0.00000000,0.30000000,0.04000000,1.10000000,30.00000000,0.00000000,100.00000000,30.17466700,6.79166700,166.96633300,0.24767553,1.09265094,0.47117877,0.05585885,0.07148103,0.05860121,0.06399490,0.05125950,5.36234294,3.66355677,0.01023656,153.19981933,0.01023656,166.96633400,-8.24508411
MIX_0073,0.30000000,0.00000000,0.30000000,0.04000000,1.40000000,30.00000000,0.00000000,100.00000000,39.01866700,7.16666700,176.18533300,0.24767553,1.09447338,0.47117877,0.05585885,0.07148103,0.05860121,0.06752836,0.05125950,5.86846089,4.66270860,0.01080176,162.44369405,0.01080176,176.18533400,-7.79953679
MIX_0074,0.30000000,0.00000000,0.30000000,0.04000000,1.70000000,30.00000000,0.00000000,100.00000000,47.86266700,7.54166700,185.40433300,0.24767553,1.09629582,0.47117877,0.05585885,0.07148103,0.05860121,0.07106182,0.05125950,6.37457883,5.66186043,0.01136697,171.68756877,0.01136697,185.40433400,-7.39829805
MIX_0075,0.30000000,0.00000000,0.30000000,0.04000000,2.00000000,30.00000000,0.00000000,100.00000000,56.70666700,7.91666700,194.62333300,0.24767553,1.09811826,0.47117877,0.05585885,0.07148103,0.05860121,0.07459528,0.05125950,6.88069677,6.66101226,0.01193218,180.93144350,0.01193218,194.62333400,-7.03507140
MIX_0076,0.30000000,0.00000000,0.30000000,0.05000000,1.10000000,30.00000000,0.00000000,100.00000000,29.43115800,8.57894700,168.01010500,0.24767553,1.10133683,0.47117877,0.05585885,0.07148103,0.05860121,0.08083566,0.05125950,5.38826306,3.66355671,0.01030055,154.24640746,0.01030055,168.01010500,-8.19218436
MIX_0077,0.30000000,0.00000000,0.30000000,0.05000000,1.40000000,30.00000000,0.00000000,100.00000000,38.23410500,9.05263200,177.28673700,0.24767553,1.10363886,0.47117877,0.05585885,0.07148103,0.05860121,0.08529898,0.05125950,5.89581219,4.66270854,0.01086929,163.54806973,0.01086929,177.28673700,-7.74940501
MIX_0078,0.30000000,0.00000000,0.30000000,0.05000000,1.70000000,30.00000000,0.00000000,100.00000000,47.03705300,9.52631600,186.56336800,0.24767553,1.10594089,0.47117877,0.05585885,0.07148103,0.05860121,0.08976230,0.05125950,6.40336133,5.66186043,0.01143803,172.84973200,0.01143803,186.56336900,-7.35065896
MIX_0079,0.30000000,0.00000000,0.30000000,0.05000000,2.00000000,30.00000000,0.00000000,100.00000000,55.84000000,10.00000000,195.84000000,0.24767553,1.10824292,0.47117877,0.05585885,0.07148103,0.05860121,0.09422562,0.05125950,6.91091042,6.66101221,0.01200677,182.15139327,0.01200677,195.84000000,-6.98968889
MIX_0080,0.30000000,0.00000000,0.35000000,0.02000000,1.10000000,30.00000000,0.00000000,100.00000000,31.61616300,3.32653100,164.94269400,0.24767553,1.07581094,0.47117877,0.05585885,0.07148103,0.05860121,0.03134444,0.05125950,5.31546038,3.66355670,0.01179790,151.24489180,0.01179790,164.94269400,-8.30458256
MIX_0081,0.30000000,0.00000000,0.35000000,0.02000000,1.40000000,30.00000000,0.00000000,100.00000000,40.53975500,3.51020400,174.04995900,0.24767553,1.07670356,0.47117877,0.05585885,0.07148103,0.05860121,0.03307511,0.05125950,5.81898970,4.66270853,0.01244932,160.38082547,0.01244932,174.04995900,-7.85356895
